Business Name,Email
Auto Trimmers Matamata,autotrimmersmtm@gmail.com
Mullers Construction Ltd,info@mullersconstruction.co.nz
Lake Street Auto Services Ltd,lakestreetauto@xtra.co.nz
Onsite Auto Electrical 2005 Ltd,onsiteauto@gmail.com
JB Visser Vets,reception@jbvisservets.co.nz
Haven Funeral Services Ltd,info@havenfunerals.co.nz
Matamata Electrical Services,matamataelectrical@gmail.com
Matamata Plumbing & Drainage,info@matamataplumbing.co.nz
Matamata Home Maintenance,homemaintenance@matamata.co.nz
Matamata Hair & Beauty,appointments@matamatahair.co.nz
Matamata Accounting Services,accounts@matamataaccounting.co.nz
Tower Road Cafe,towerroadcafe@gmail.com
Matamata Pharmacy Plus,info@matamatapharmacyplus.co.nz
Matamata Glass & Joinery,sales@matamataglass.co.nz
Matamata Tyre Service,service@matamatayres.co.nz
Matamata Upholstery,info@matamataupholstery.co.nz
Matamata Cleaning Services,bookings@matamatacleaning.co.nz
Matamata Lawn & Garden Care,info@matamatalawncare.co.nz
Matamata Handyman Services,matamatahandyman@gmail.com
Matamata Computer Solutions,help@matamatacomputers.co.nz
Comag Ltd,info@comag.co.nz
Ace Electrical Services Ltd,admin@aceelectrical.co.nz
Lewis Barristers & Solicitors,office@lewislaw.co.nz
The Garden Art Studio,info@gardenartstudio.co.nz
Matamata Club,info@matamataclub.co.nz
Prestige Roofing Matamata,info@prestigeroofing.co.nz
Resene ColorShop Matamata,matamata@resene.co.nz
Beds4U Matamata,sales@beds4umatamata.co.nz
Wheelie Bin Services,info@wheeliebinservices.co.nz
Silver Scissors Hair Salon,appointments@silverscissors.co.nz 
